Datetime,Close,High,Low,Open,Volume
2025-06-13 00:00:00+00:00,60000,60200,59900,60200,0
2025-06-13 00:01:00+00:00,59900,60000,59700,60000,297843
2025-06-13 00:02:00+00:00,59800,60000,59700,59900,125990
2025-06-13 00:03:00+00:00,59800,59800,59600,59800,171603
2025-06-13 00:04:00+00:00,59700,59800,59600,59700,95091
2025-06-13 00:05:00+00:00,59600,59700,59500,59700,147042
2025-06-13 00:06:00+00:00,59600,59700,59500,59550,60096
2025-06-13 00:07:00+00:00,59600,59700,59600,59650,127746
2025-06-13 00:08:00+00:00,59600,59700,59500,59600,82399
2025-06-13 00:09:00+00:00,59400,59600,59300,59600,315818
2025-06-13 00:10:00+00:00,59300,59500,59300,59500,139127
2025-06-13 00:11:00+00:00,59300,59400,59200,59350,287692
2025-06-13 00:12:00+00:00,59300,59400,59100,59300,151678
2025-06-13 00:13:00+00:00,59300,59300,59200,59200,83021
2025-06-13 00:14:00+00:00,59200,59300,59100,59300,112162
2025-06-13 00:15:00+00:00,59200,59300,59100,59250,74356
2025-06-13 00:16:00+00:00,59150,59200,59100,59150,51372
2025-06-13 00:17:00+00:00,59100,59200,59100,59100,46906
2025-06-13 00:18:00+00:00,58900,59200,58900,59100,443816
2025-06-13 00:19:00+00:00,58800,59000,58800,59000,221065
2025-06-13 00:20:00+00:00,58700,58900,58600,58800,382679
2025-06-13 00:21:00+00:00,58700,58800,58600,58700,131144
2025-06-13 00:22:00+00:00,58800,58900,58600,58700,161372
2025-06-13 00:23:00+00:00,58800,58900,58800,58800,43673
2025-06-13 00:24:00+00:00,58800,58850,58700,58850,113668
2025-06-13 00:25:00+00:00,58700,58800,58700,58800,26340
2025-06-13 00:26:00+00:00,58600,58800,58600,58700,122502
2025-06-13 00:27:00+00:00,58650,58700,58600,58650,89031
2025-06-13 00:28:00+00:00,58650,58700,58600,58600,67799
2025-06-13 00:29:00+00:00,58600,58700,58600,58700,50809
2025-06-13 00:30:00+00:00,58800,58800,58600,58650,122890
2025-06-13 00:31:00+00:00,58800,58800,58700,58800,77542
2025-06-13 00:32:00+00:00,58750,58900,58700,58800,58114
2025-06-13 00:33:00+00:00,58750,58800,58700,58750,91857
2025-06-13 00:34:00+00:00,58800,58800,58700,58700,21933
2025-06-13 00:35:00+00:00,58900,58900,58700,58800,102890
2025-06-13 00:36:00+00:00,58850,58900,58800,58800,29946
2025-06-13 00:37:00+00:00,58850,58900,58700,58800,74354
2025-06-13 00:38:00+00:00,58850,58850,58800,58800,14410
2025-06-13 00:39:00+00:00,58900,58900,58800,58800,27081
2025-06-13 00:40:00+00:00,58800,58900,58700,58900,84600
2025-06-13 00:41:00+00:00,58700,58800,58700,58800,22215
2025-06-13 00:42:00+00:00,58650,58750,58600,58700,168413
2025-06-13 00:43:00+00:00,58700,58700,58600,58600,24812
2025-06-13 00:44:00+00:00,58650,58700,58600,58650,25764
2025-06-13 00:45:00+00:00,58700,58800,58600,58600,186863
2025-06-13 00:46:00+00:00,58600,58750,58600,58700,35231
2025-06-13 00:47:00+00:00,58550,58700,58500,58700,151733
2025-06-13 00:48:00+00:00,58550,58600,58500,58600,22637
2025-06-13 00:49:00+00:00,58500,58600,58500,58600,57586
2025-06-13 00:50:00+00:00,58400,58550,58400,58500,160400
2025-06-13 00:51:00+00:00,58400,58450,58300,58450,212262
2025-06-13 00:52:00+00:00,58300,58400,58200,58300,194907
2025-06-13 00:53:00+00:00,58300,58400,58300,58300,68673
2025-06-13 00:54:00+00:00,58250,58400,58200,58350,126598
2025-06-13 00:55:00+00:00,58300,58300,58200,58200,83459
2025-06-13 00:56:00+00:00,58250,58300,58200,58300,32742
2025-06-13 00:57:00+00:00,58300,58300,58200,58250,36941
2025-06-13 00:58:00+00:00,58300,58400,58200,58200,112127
2025-06-13 00:59:00+00:00,58300,58400,58200,58300,99045
2025-06-13 01:00:00+00:00,58400,58400,58300,58300,30943
2025-06-13 01:01:00+00:00,58300,58400,58300,58400,32577
2025-06-13 01:02:00+00:00,58300,58400,58300,58350,28298
2025-06-13 01:03:00+00:00,58350,58350,58300,58350,35431
2025-06-13 01:04:00+00:00,58300,58400,58200,58300,54209
2025-06-13 01:05:00+00:00,58400,58400,58300,58400,22244
2025-06-13 01:06:00+00:00,58400,58500,58300,58400,63032
