Date,Close,High,Low,Open,Volume
2022-06-16,15.5785265,15.91903584,15.37881479,15.83715323,545749000
2022-06-17,15.85712719,15.97196132,15.30592222,15.625461,630334000
2022-06-21,16.54213905,16.98350185,16.38336767,16.45127052,483089000
2022-06-22,16.33643913,16.63800424,16.15669806,16.20263134,437135000
2022-06-23,16.20162773,16.56110784,15.83016292,16.49520293,463680000
2022-06-24,17.1013298,17.11530958,16.28650525,16.47623209,472153000
2022-06-27,16.84469986,17.30503624,16.60204987,17.28706251,427968000
2022-06-28,15.95897961,17.17722161,15.92203225,16.87565657,461149000
2022-06-29,15.51961327,15.79721272,15.14814935,15.79122179,482352000
2022-06-30,15.13716602,15.54457835,14.84059388,15.33887474,686070000
2022-07-01,14.50207996,15.04130208,14.3712691,14.87753875,577610000
2022-07-05,14.94244576,14.94943564,14.03475563,14.15458266,651397000
2022-07-06,15.1082058,15.29693368,14.76769644,14.98837877,529066000
2022-07-07,15.83515739,15.92203197,15.3668331,15.43373697,492903000
2022-07-08,15.81518841,16.01390214,15.36683476,15.40777607,467972000
2022-07-11,15.13017464,15.50463447,15.01633853,15.5036355,437321000
2022-07-12,15.06027508,15.40877234,14.85557044,15.24600703,458483000
2022-07-13,15.14215755,15.35285408,14.44416498,14.56898493,521918000
2022-07-14,15.34985733,15.45071168,14.70678492,15.08623767,456235000
2022-07-15,15.73929691,15.75926761,15.42275312,15.63644558,385935000
2022-07-18,16.07780838,16.87266137,15.97895195,16.27851908,670517000
2022-07-19,16.96752739,17.08535747,16.14870872,16.46225565,702366000
2022-07-20,17.78135109,17.90717096,16.77680146,16.92259108,760538000
2022-07-21,18.02399826,18.11786272,17.51972655,17.85923693,557049000
2022-07-22,17.29405403,17.94111947,17.11231507,17.86722665,536671000
2022-07-25,16.99947929,17.09933564,16.62501943,16.99448543,480748000
2022-07-26,16.50918961,16.89463336,16.45426851,16.86467588,397865000
2022-07-27,17.76437378,17.91016337,16.88863632,17.00746438,569776000
2022-07-28,17.95809364,18.11386907,17.41487854,17.94910774,474646000
2022-07-29,18.13683891,18.21772162,17.66651665,17.78734266,435460000
2022-08-01,18.41443825,18.81885559,17.96408764,18.15581052,476469000
2022-08-02,18.49931908,18.91072639,18.06594408,18.09590156,489527000
2022-08-03,18.8657856,18.94067833,18.11087405,18.15780723,418146000
2022-08-04,19.18732262,19.24623765,18.73297808,18.82185058,409652000
2022-08-05,18.96164894,19.20130302,18.63911423,18.78290592,386068000
2022-08-08,17.76737213,18.21273081,17.21716704,17.4767928,981859000
2022-08-09,17.06138992,17.42187,16.69991183,17.22715118,668263000
2022-08-10,18.07093239,18.09190205,17.29205525,17.67250696,597422000
2022-08-11,17.91615677,18.6800562,17.85025185,18.10488563,509327000
2022-08-12,18.6820507,18.69103852,17.92713915,18.13384171,478094000
2022-08-15,19.00458336,19.13639318,18.58618822,18.6740608,457666000
2022-08-16,18.85180855,19.11443024,18.47435272,18.89274986,451240000
2022-08-17,18.30858994,18.66108213,18.11886498,18.49632078,446799000
2022-08-18,18.74595833,18.83782486,18.15680807,18.27463812,415447000
2022-08-19,17.82328796,18.49332086,17.7444013,18.37948477,441588000
2022-08-22,17.00946617,17.53271162,16.94156332,17.46480877,409593000
2022-08-23,17.15625191,17.43984322,16.94555539,16.96452903,369986000
2022-08-24,17.19719124,17.3809262,16.87066263,16.98749276,522661000
2022-08-25,17.88719749,17.92114892,16.80875325,16.81973708,770691000
2022-08-26,16.23657417,17.89817638,16.21360659,17.83127347,769127000
2022-08-29,15.77824211,16.3144684,15.74429164,15.99692751,496132000
2022-08-30,15.44572163,16.01589835,15.1601333,15.93701262,530181000
2022-08-31,15.07225895,15.51761664,14.93745317,15.3618412,573710000
2022-09-01,13.91692448,14.35928619,13.25088545,14.18853203,1178865000
2022-09-02,13.62734222,14.15058663,13.57142218,14.07968976,743157000
2022-09-06,13.44560528,13.75915312,13.33176916,13.71122193,535751000
2022-09-07,13.69831562,13.82217436,13.33073646,13.54748829,512657000
2022-09-08,13.97399998,13.99197999,13.35371085,13.44360712,624873000
2022-09-09,14.37054729,14.4574477,14.10984609,14.14080982,486612000
2022-09-12,14.48841095,14.53036273,14.1817619,14.35256681,484159000
2022-09-13,13.11598301,13.90607879,13.08402002,13.78621614,714956000
2022-09-14,13.11298466,13.27479907,12.89823042,13.23883999,588507000
