Datetime,Close,High,Low,Open,Volume
2025-06-16 00:46:00+00:00,57250,57300,57200,57300,35859
2025-06-16 00:47:00+00:00,57150,57250,57100,57250,208350
2025-06-16 00:48:00+00:00,57200,57200,57100,57100,75397
2025-06-16 00:49:00+00:00,57150,57200,57100,57200,53805
2025-06-16 00:50:00+00:00,57100,57200,57100,57200,37339
2025-06-16 00:51:00+00:00,57150,57200,57100,57200,52070
2025-06-16 00:52:00+00:00,57100,57150,57100,57150,29697
2025-06-16 00:53:00+00:00,57000,57150,57000,57150,272155
2025-06-16 00:54:00+00:00,57100,57100,57000,57100,47437
2025-06-16 00:55:00+00:00,57000,57100,57000,57100,43256
2025-06-16 00:56:00+00:00,57000,57100,57000,57050,48938
2025-06-16 00:57:00+00:00,57100,57100,57000,57000,43366
2025-06-16 00:58:00+00:00,57050,57100,57000,57100,35061
2025-06-16 00:59:00+00:00,57000,57050,57000,57000,34712
2025-06-16 01:00:00+00:00,57100,57100,57000,57000,36987
2025-06-16 01:01:00+00:00,57050,57100,57000,57100,55992
2025-06-16 01:02:00+00:00,57100,57100,57000,57100,41461
2025-06-16 01:03:00+00:00,57200,57200,57000,57050,236465
2025-06-16 01:04:00+00:00,57150,57200,57100,57100,13164
2025-06-16 01:05:00+00:00,57100,57200,57000,57150,89482
2025-06-16 01:06:00+00:00,57100,57150,57100,57150,28731
2025-06-16 01:07:00+00:00,57100,57150,57100,57100,61977
2025-06-16 01:08:00+00:00,57100,57150,57000,57150,127406
2025-06-16 01:09:00+00:00,57100,57100,57000,57100,36450
2025-06-16 01:10:00+00:00,57100,57200,57000,57100,146856
2025-06-16 01:11:00+00:00,57150,57200,57100,57100,15295
2025-06-16 01:12:00+00:00,57150,57200,57100,57100,52868
2025-06-16 01:13:00+00:00,57150,57150,57100,57100,38151
2025-06-16 01:14:00+00:00,57150,57150,57100,57100,14786
2025-06-16 01:15:00+00:00,57150,57150,57100,57150,15106
2025-06-16 01:16:00+00:00,57050,57150,57000,57150,172443
2025-06-16 01:17:00+00:00,57000,57100,57000,57000,57364
2025-06-16 01:18:00+00:00,56950,57100,56900,57100,342307
2025-06-16 01:19:00+00:00,57000,57000,56900,56950,58266
2025-06-16 01:20:00+00:00,57000,57000,56900,56950,51259
2025-06-16 01:21:00+00:00,57000,57100,56900,57000,203644
2025-06-16 01:22:00+00:00,57000,57100,56950,57000,140875
2025-06-16 01:23:00+00:00,57050,57050,57000,57050,21289
2025-06-16 01:24:00+00:00,57000,57050,56900,57000,91677
2025-06-16 01:25:00+00:00,56950,57000,56900,56950,24765
2025-06-16 01:26:00+00:00,56950,57000,56900,56950,23945
2025-06-16 01:27:00+00:00,57000,57000,56900,56950,24429
2025-06-16 01:28:00+00:00,57000,57000,56900,57000,16283
2025-06-16 01:29:00+00:00,56900,57000,56900,57000,13763
2025-06-16 01:30:00+00:00,56900,57000,56900,56900,17291
2025-06-16 01:31:00+00:00,57000,57000,56900,56950,63845
2025-06-16 01:32:00+00:00,56950,57000,56900,57000,20874
2025-06-16 01:33:00+00:00,57000,57000,56900,57000,23037
2025-06-16 01:34:00+00:00,57000,57000,56900,57000,20498
2025-06-16 01:35:00+00:00,57000,57000,56900,57000,17867
2025-06-16 01:36:00+00:00,56900,57000,56900,56950,22501
2025-06-16 01:37:00+00:00,57000,57000,56900,57000,16064
2025-06-16 01:38:00+00:00,57000,57000,56900,57000,15287
2025-06-16 01:39:00+00:00,57000,57000,56900,57000,27750
2025-06-16 01:40:00+00:00,56950,57000,56900,57000,31533
2025-06-16 01:41:00+00:00,57000,57000,56900,56950,20086
2025-06-16 01:42:00+00:00,57000,57000,56900,57000,24505
2025-06-16 01:43:00+00:00,57100,57100,56950,56950,181980
2025-06-16 01:44:00+00:00,57100,57200,57000,57100,97128
2025-06-16 01:45:00+00:00,57100,57200,57000,57100,81671
2025-06-16 01:46:00+00:00,57200,57200,57100,57100,10867
2025-06-16 01:47:00+00:00,57200,57200,57100,57100,61185
2025-06-16 01:48:00+00:00,57200,57200,57100,57200,38098
2025-06-16 01:49:00+00:00,57200,57300,57150,57150,51531
2025-06-16 01:50:00+00:00,57200,57250,57200,57200,10143
2025-06-16 01:51:00+00:00,57200,57300,57200,57250,40458
2025-06-16 01:52:00+00:00,57300,57300,57200,57250,14856
2025-06-16 01:53:00+00:00,57200,57300,57200,57250,13393
2025-06-16 01:54:00+00:00,57250,57300,57200,57300,33668
2025-06-16 01:55:00+00:00,57200,57300,57100,57200,137980
2025-06-16 01:56:00+00:00,57200,57300,57100,57200,83637
2025-06-16 01:57:00+00:00,57200,57200,57100,57200,15500
2025-06-16 01:58:00+00:00,57200,57200,57100,57150,12638
2025-06-16 01:59:00+00:00,57150,57200,57100,57150,22094
2025-06-16 02:00:00+00:00,57150,57200,57100,57200,6068
2025-06-16 02:01:00+00:00,57150,57200,57100,57200,5983
2025-06-16 02:02:00+00:00,57100,57200,57100,57200,14954
2025-06-16 02:03:00+00:00,57200,57200,57100,57100,8772
2025-06-16 02:04:00+00:00,57200,57300,57150,57200,190701
2025-06-16 02:05:00+00:00,57200,57250,57200,57200,8112
2025-06-16 02:06:00+00:00,57100,57300,57100,57250,130606
2025-06-16 02:07:00+00:00,57100,57200,57100,57100,18747
2025-06-16 02:08:00+00:00,57000,57150,57000,57150,117192
2025-06-16 02:09:00+00:00,57100,57100,57000,57000,11807
