Ticker,Price,DollarVol($M),SMA20,SMA50,SMA200,ATR_PCT,RVOL,RET5,RET20,RET63,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,High_52W_Ratio,Low_52W_Ratio,Momentum_12M,Volatility_21D,Name,Sector,Industry,MktCap($B),RevYoY,OpMarginTTM,OperatingMargins(info),ROE(info),ROA(info),EV_EBITDA,PE,PEG,FCF_Yield,PB,PS,DivYield,PayoutRatio,EPS_Growth_3Y,Revenue_Growth_3Y,EBITDA_Growth_3Y,Beta,ShortPercent,InsiderOwnership,InstitutionOwnership,CreatedAtUTC,Source
CGIB,25.58,1.28,25.492649841308594,25.357257804870606,24.93324679374695,0.004877304532408771,3.001001001001001,-0.0002735217935755374,0.009270165659433616,0.015395834880395753,62.406910015973494,0.08012145606407017,0.07651995947723764,0.0036014965868325366,0.6828361151926268,0.9916666605059797,1.0661513539952774,0.05312161157132178,0.0030043486871635795,CGIB,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
BGRN,48.26,0.9,48.26035022735596,48.00780029296875,46.67989559173584,0.002276374544204243,0.9390931043734907,-0.002892628097766581,0.0035350003827390175,0.019503180460265668,61.47847986027619,0.12153532352289886,0.13900030645881364,-0.01746498293591478,0.4995094898384347,0.9950515117841897,1.0769819539466947,0.06259945804447486,0.00146894565949785,BGRN,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
UVXY,10.59,420.51,10.963999938964843,11.135999965667725,19.223799986839296,0.09894779993655037,0.8841336076164305,0.014367871478313088,-0.0009434177850896619,-0.39102929705151745,39.80687075157095,-0.28715461270438425,-0.21728022288715126,-0.06987438981723298,0.40376262927118023,0.2220591414875176,1.0883865005972961,-0.6051454036879959,0.07494827105808373,UVXY,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
SONO,16.86,22.48,17.00800004005432,15.70559995651245,12.341849989891053,0.03520588972816679,0.7873123973388736,-0.02936097894306977,0.003571510477134554,0.6274132402586445,54.45292639389183,0.39425457586716206,0.48338980177312757,-0.08913522590596551,0.4343577382390813,0.9345897868464,2.1896105231151464,0.2989215103968137,0.028015908875977626,SONO,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
WWW,23.05,38.95,25.59650001525879,28.20278205871582,20.389108777046204,0.049829564474568405,1.3667783209251128,-0.16666668965230946,-0.1285444774218243,0.04396693055440615,41.6050655326499,-0.8827668767382448,-0.648092518687942,-0.2346743580503028,-0.043905079670208166,0.7140218277951242,2.310126556871261,0.5001560692181413,0.029838117070795145,WWW,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
AEBI,10.9,1.69,11.632999801635743,11.994056644439697,,0.043296203028694746,0.8678819164381352,-0.06518012339858781,-0.11020411277303888,0.12370933434140796,45.22820328863461,-0.22461288678746172,-0.1658931938973147,-0.05871969289014703,0.0016080836757405995,0.8025316782778106,1.1795308307630323,,0.02304058862972237,AEBI,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
EET,81.87,1.61,79.19400024414062,75.15461578369141,61.73878900527954,0.02465580760331463,0.3048006096012192,0.02235265827420574,0.04133808046885745,0.29698204640500836,73.70001743317314,2.0316555576039406,1.7941772645084342,0.2374782930955064,0.751360211104293,0.9795405713446959,1.9980815866579873,0.438026297142907,0.02620353257817459,EET,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
NXT,99.12,262.82,88.59549980163574,77.30979995727539,57.4895998954773,0.053395600028540956,0.6739806000995641,0.09670287407353872,0.24899196048712002,0.7521655167279566,68.99441345742821,6.620957988541534,5.805854165883802,0.8151038226577318,0.8421122555329067,0.9654232445147053,3.1004067837179363,2.0658829920440027,0.038969970073535094,NXT,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
BERZ,2.79,2.65,3.090499997138977,3.7777999782562257,8.423350036144257,0.07429595468733374,1.5223456335210823,-0.09999998461815574,-0.1570996948386194,-0.5164644764166837,32.51231203100241,-0.2893249774733855,-0.27999710909135744,-0.009327868382028037,0.20414667365943956,0.12025861509064592,1.0898437594587451,-0.8196509428768821,0.05701424974997927,BERZ,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
FDT,77.12,2.43,75.84149971008301,74.8416358947754,65.15258804321289,0.013429911745133347,0.5937450388950627,0.013270294680474581,0.016743629505730828,0.11617453106035036,72.1455614108142,0.6261933166473739,0.49478143477421216,0.13141188187316172,0.8311415111330894,0.9984464640017321,1.5069684974865405,0.42145882201398877,0.010250906835383213,FDT,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
BLND,3.24,10.58,3.359999990463257,3.654800009727478,3.5162000012397767,0.057208984659057494,0.9281750353449715,-0.06628242569946141,-0.06628242569946141,-0.08988762314219356,53.27102512196671,-0.06108107921031358,-0.07256307507827019,0.011481995867956604,0.21491449984096767,0.6056074892134531,1.1868131820146806,-0.06628242569946141,0.025036148918074323,BLND,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31T13:40:10Z,us_all
